x,y,label
4.1412678195541845,3.4437694101250957,0
3.7053423027509678,5.456230589874906,0
2.629179606750063,5.711901729331276,0
2.158745587157891,3.30627470929353,1
2.820113937997704,5.414493641049312,1
3.564273842200774,5.164984471899924,1
2.5582505367783868,2.3264023254011477,0
2.7033436854000503,2.6304786165349787,1
2.9397211012518594,2.5628415110632887,1
1.8587321804458157,4.556230589874905,0
2.3570078460252044,2.4802097340963725,0
3.40874811990247,2.6970490444489315,1
2.4357261577992255,2.835015528100076,1
3.22485757750287,2.2318829486883605,0
3.6119270301587423,2.8904609304028637,1
3.120319904221732,2.571354830107152,1
1.8842682169340985,3.337375805167579,0
2.0475698867381014,3.819520143667402,1
3.510935149878087,2.3713113055611648,0
2.4890648501219133,2.3713113055611643,0
3.0602788987481406,5.437158488936712,1
3.642992153974796,5.519790265903627,0
2.0475698867381014,4.180479856332598,1
4.0857924629592235,3.23359727518287,0
2.2946576972490322,2.543769410125095,0
2.0291796067500636,2.941986545873548,0
3.642992153974796,2.4802097340963734,0
2.421895591077942,2.4226479759210457,0
3.0,5.44,1
2.59125188009753,5.3029509555510685,1
4.013193510602418,4.9644882309621945,0
3.510935149878087,5.628688694438836,0
1.858732180445816,3.443769410125094,0
3.0,2.2,0
2.04,3.9999999999999996,1
3.9298398346834857,4.358113437517391,1
2.435726157799226,5.164984471899924,1
2.342834778308459,5.049714823486832,1
2.388072969841258,2.8904609304028632,1
3.0753486234351763,2.2035518888291112,0
3.298427864597826,2.256550309968464,0
3.9429957606995414,3.7301709069965563,1
2.125237647094306,5.232184790671639,0
3.075348623435176,5.796448111170889,0
3.1798860620022955,5.414493641049312,1
3.913014255643348,3.5550155281000766,1
2.701572135402174,5.743449690031536,0
3.4417494632216132,5.673597674598852,0
2.131366029632621,4.613122179853704,1
3.764908787698428,2.61307616300358,0
3.611927030158742,5.109539069597137,1
2.8796800957782684,2.571354830107152,1
4.141267819554184,4.556230589874906,0
2.939721101251859,5.437158488936712,1
3.4624835271376466,5.261881619263164,1
2.8496001197228353,2.21419353763394,0
2.2233436854000503,4.8464107633011615,1
4.190537641577373,3.7744001795842532,0
2.8201139379977045,2.5855063589506884,1
4.162299793354357,3.552358203103262,0
2.6466004294227092,2.6611218603209177,1
4.178744700874427,3.6627136337456956,0
2.5582505367783863,5.673597674598852,0
3.8747623529056936,5.232184790671639,0
2.2946576972490322,5.456230589874906,0
3.3533995705772908,5.338878139679082,1
1.9484319839473638,4.867156613383087,0
3.7396927130647577,3.082109454761887,1
3.9708203932499373,2.941986545873549,0
2.3880729698412577,5.109539069597137,1
1.802367925886074,3.886977064847236,0
2.879680095778268,5.428645169892848,1
2.300190117675445,3.014252167462688,1
1.9868064893975819,4.9644882309621945,0
3.40874811990247,5.3029509555510685,1
3.657165221691541,5.049714823486832,1
2.924651376564824,5.796448111170889,0
2.2603072869352423,4.917890545238113,1
3.96,4.0,1
3.7396927130647577,4.917890545238113,1
4.190537641577373,4.225599820415748,0
